22:45:46  |  Core  |  Info  |  Load ini file 'openmw_list.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_edit.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_box.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_progress.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_hud_energybar.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_hud_box.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_mainmenu.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_console.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_journal.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_map_window.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
